"param_value","food"
0,197
0.25,195
0.5,196
0.75,202
1,193
1.25,199
1.5,194
1.75,198
2,201
2.25,208
2.5,224
2.75,233
3,245
3.25,256
3.5,261
3.75,260
4,272
4.25,276
4.5,270
4.75,284
5,291
5.25,293
5.5,296
5.75,296
6,292
6.25,289
6.5,289
6.75,285
7,279
7.25,275
7.5,274
7.75,275
8,271
8.25,265
8.5,263
8.75,259
9,259
9.25,256
9.5,255
9.75,250
10,247
10.25,242
10.5,238
10.75,239
11,233
11.25,233
11.5,232
11.75,227
12,229
12.25,230
12.5,222
12.75,219
13,220
13.25,214
13.5,219
13.75,215
14,210
14.25,206
14.5,206
14.75,208
15,200
15.25,198
15.5,198
15.75,199
16,193
16.25,193
16.5,189
16.75,190
17,188
17.25,194
17.5,181
17.75,188
18,181
18.25,182
18.5,185
18.75,184
19,178
19.25,175
19.5,173
19.75,173
20,176
