"param_value","run1","run2","run3","average"
0,199,203,207,203
0.05,210,215,212,212.333333333333
0.1,220,215,216,217
0.15,233,235,230,232.666666666667
0.2,246,235,243,241.333333333333
0.25,259,247,248,251.333333333333
0.3,269,270,260,266.333333333333
0.35,284,276,270,276.666666666667
0.4,266,267,267,266.666666666667
0.45,276,290,292,286
0.5,291,283,296,290
0.55,296,299,285,293.333333333333
0.6,306,299,273,292.666666666667
0.65,289,291,302,294
0.7,296,302,298,298.666666666667
0.75,294,288,289,290.333333333333
0.8,291,290,291,290.666666666667
0.85,294,292,286,290.666666666667
0.9,293,288,284,288.333333333333
0.95,286,272,285,281
1,283,278,279,280
